representative	genome
Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.142_81.20_4.70	Bog.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.150_76.03_4.31
Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.142_81.20_4.70	Bog.Labelled.R1.T2.F3.trimmomatic.metaspades_bin.50_76.72_8.62
Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.165_74.19_4.27	Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.165_74.19_4.27
Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.165_74.19_4.27	20110800_S1S_10
Bog.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.165_74.19_4.27	Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.98_72.15_9.83
20110800_S3S_4	20110800_S3S_4
20110800_S3S_4	PLFD01
20110800_S3S_4	PLVS01
20110800_S3S_4	20120800_S2S_2
20110800_S3S_4	Bog.Labelled.R2.T2.F1.trimmomatic.metaspades_bin.133_93.11_1.26
20110800_S3S_4	Bog.Labelled.R3.T2.F1.trimmomatic.megahit_bin.45_88.34_0.07
20110800_S3S_4	Bog.Unlabelled.R1.T3.F1.trimmomatic.megahit_bin.60_89.79_0.13
20110800_S3S_4	Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.117_90.09_1.26
20110800_S3S_4	Bog.Labelled.R3.T2.F1.trimmomatic.metaspades_bin.86_86.31_0.07
20110800_S3S_4	Bog.Unlabelled.R3.T1.F1.trimmomatic.metaspades_bin.51_88.51_1.26
20110800_S3S_4	Bog.Unlabelled.R1.T1.F1.trimmomatic.metaspades_bin.59_88.05_0.30
20110800_S3S_4	Bog.Labelled.R1.T2.F2.trimmomatic.megahit_bin.5_92.86_1.26
20110800_S3S_4	Bog.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.25_78.50_0.26
20110800_S3S_4	Bog.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.31_90.40_2.38
20110800_S3S_4	Bog.Unlabelled.R1.T1.F1.trimmomatic.megahit_bin.5_92.08_2.51
20110800_S3S_4	Bog.Labelled.R3.T1.F1.trimmomatic.megahit_bin.35_93.21_3.01
20110800_S3S_4	Bog.None.R2.T0.trimmomatic.megahit_bin.333_82.95_1.26
20110800_S3S_4	Bog.Unlabelled.R2.T1.F1.trimmomatic.metaspades_bin.60_90.81_3.61
20110800_S3S_4	20111000_S3M_4
20110800_S3S_4	Bog.Labelled.R1.T2.F1.trimmomatic.megahit_bin.83_74.77_1.23
20110800_S3S_4	Bog.Unlabelled.R1.T3.F1.JGI.BFC.metaspades_bin.60_78.57_1.26
20110800_S3S_4	Fen.Labelled.R1.T3.F2.trimmomatic.metaspades_bin.53_71.62_1.69
20110800_S3S_4	Bog.Unlabelled.R3.T2.F1.trimmomatic.metaspades_bin.59_72.83_0.26
20110800_S3S_4	3300036717_11
20110800_S3S_4	3300029982_14
20110800_S3S_4	Bog.Unlabelled.R2.T3.F1.trimmomatic.metaspades_bin.90_78.04_2.38
20110800_S3S_4	Bog.Labelled.R2.T2.F1.JGI.BFC.metaspades_bin.37_80.54_1.82
20110800_S3S_4	Bog.Labelled.R1.T2.F1.trimmomatic.metaspades_bin.94_77.75_2.31
20110800_S3S_4	Bog.Labelled.R2.T1.F1.trimmomatic.megahit_bin.50_75.89_1.33
20110800_S3S_4	3300029986_10
20110800_S3S_4	Bog.None.R2.T0.JGI.BFC.metaspades_bin.118_80.27_1.95
20110800_S3S_4	3300038463_13
20110800_S3S_4	20120700_S1M_8
20110800_S3S_4	Bog.Labelled.R2.T1.F1.trimmomatic.metaspades_bin.50_72.44_1.35
20110800_S3S_4	Bog.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.44_90.11_5.17
20110800_S3S_4	Bog.Unlabelled.R2.T1.F1.trimmomatic.megahit_bin.62_88.97_5.00
20110800_S3S_4	Bog.Labelled.R1.T2.F2.JGI.BFC.metaspades_bin.13_70.87_1.30
20110800_S3S_4	Bog.Unlabelled.R1.T1.F1.JGI.BFC.metaspades_bin.12_93.26_6.25
20110800_S3S_4	3300028874_12
20110800_S3S_4	Bog.Labelled.R2.T2.F1.trimmomatic.megahit_bin.71_88.25_5.75
20110800_S3S_4	3300029985_12
20110800_S3S_4	3300031261_17
20110800_S3S_4	3300031524_28
20110800_S3S_4	Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.49_79.67_4.62
20110800_S3S_4	Bog.None.R3.T0.trimmomatic.megahit_bin.402_83.12_6.79
20110800_S3S_4	3300031788_20
20110800_S3S_4	3300037223_12
20110800_S3S_4	Bog.None.R3.T0.JGI.BFC.metaspades_bin.272_75.98_5.69
20110800_S3S_4	Bog.None.R1.T0.trimmomatic.megahit_bin.312_80.22_6.12
20110800_S3S_4	3300030044_8
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	Bog.None.R3.T0.trimmomatic.megahit_bin.252_97.24_4.59
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	Bog.None.R2.T0.trimmomatic.megahit_bin.119_97.07_5.84
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	20110800_S3S_30
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	Bog.Unlabelled.R3.T1.F3.trimmomatic.metaspades_bin.82_94.27_6.10
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	Bog.Unlabelled.R2.T1.F3.trimmomatic.metaspades_bin.55_92.96_5.86
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	Bog.Unlabelled.R3.T1.F3.trimmomatic.megahit_bin.97_92.81_6.32
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	Bog.None.R3.T0.JGI.BFC.metaspades_bin.175_95.87_7.15
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.9_90.03_4.52
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	Bog.Labelled.R2.T1.F3.trimmomatic.metaspades_bin.42_72.07_0.00
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	Bog.None.R2.T0.JGI.BFC.metaspades_bin.261_93.19_5.61
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	20111000_S2S_5
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	Bog.Unlabelled.R2.T1.F3.JGI.BFC.metaspades_bin.59_81.74_4.11
Bog.None.R1.T0.trimmomatic.megahit_bin.316_95.55_4.21	Bog.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.74_91.86_7.62
Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.10_87.59_0.24	Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.10_87.59_0.24
Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.10_87.59_0.24	Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.36_72.59_0.89
Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.10_87.59_0.24	Fen.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.15_70.76_3.55
Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.10_87.59_0.24	Fen.Labelled.R2.T3.F3.trimmomatic.megahit_bin.67_82.16_6.03
Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.10_87.59_0.24	Fen.Unlabelled.R1.T3.F1.trimmomatic.megahit_bin.41_79.82_8.05
Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.50_88.06_3.48	Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.50_88.06_3.48
Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.50_88.06_3.48	Palsa.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.26_83.90_4.64
Palsa.Labelled.R1.T1.F2.trimmomatic.metaspades_bin.50_88.06_3.48	Palsa.Labelled.R3.T1.F2.trimmomatic.megahit_bin.60_80.98_7.15
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77	Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77	Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.88_97.50_8.55
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77	Bog.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.5_90.45_5.26
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77	Bog.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.81_92.97_9.08
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77	Bog.Unlabelled.R1.T2.F3.trimmomatic.megahit_bin.143_95.84_9.77
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77	Bog.Unlabelled.R1.T1.F3.trimmomatic.metaspades_bin.30_82.12_6.42
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77	Bog.Labelled.R3.T1.F3.JGI.BFC.metaspades_bin.70_82.30_4.82
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77	Bog.Unlabelled.R1.T1.F3.trimmomatic.megahit_bin.81_75.86_5.17
Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77	Bog.Labelled.R3.T1.F2.trimmomatic.megahit_bin.10_71.87_7.32
20130700_C1Y_13	20130700_C1Y_13
20130700_C1Y_13	20170700_E13_1
20130700_C1Y_13	20150700_E14_9
Fen.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.7_84.67_0.88	Fen.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.7_84.67_0.88
Fen.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.7_84.67_0.88	Fen.Labelled.R2.T2.F4.trimmomatic.metaspades_bin.4_88.56_1.60
Fen.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.7_84.67_0.88	Fen.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.20_70.17_0.00
Fen.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.7_84.67_0.88	Fen.Labelled.R1.T2.F4.trimmomatic.metaspades_bin.29_70.18_0.00
Fen.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.7_84.67_0.88	Fen.Labelled.R3.T2.F4.trimmomatic.megahit_bin.53_71.03_2.00
Fen.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.7_84.67_0.88	Fen.Unlabelled.R2.T1.F1.trimmomatic.megahit_bin.30_73.19_3.33
Fen.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.7_84.67_0.88	Fen.Labelled.R2.T3.F4.trimmomatic.metaspades_bin.21_75.44_5.26
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.240_99.01_1.64	Palsa.None.R2.T0.JGI.BFC.metaspades_bin.240_99.01_1.64
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.240_99.01_1.64	Palsa.Labelled.R1.T2.F1.trimmomatic.metaspades_bin.28_81.65_1.01
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.240_99.01_1.64	Palsa.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.66_82.94_2.32
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.240_99.01_1.64	Palsa.Labelled.R1.T2.F1.trimmomatic.megahit_bin.18_74.19_0.52
Palsa.None.R2.T0.JGI.BFC.metaspades_bin.240_99.01_1.64	Palsa.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.37_79.61_1.64
20120700_S1D_98	20120700_S1D_98
20120700_S1D_98	20160700_S14_7
20120700_S1D_98	PLTR01
3300036913_19	3300036913_19
3300036913_19	3300037164_15
3300036913_19	3300037198_20
20160700_P15_19	20160700_P15_19
20160700_P15_19	20150700_P24_15
20160700_P15_19	20120800_P2M_2
20160700_P15_19	20120500_P15_1
20160700_P15_19	20110800_P3M_2
20160700_P15_19	20120700_P1M_3
20160700_P15_19	20110700_P3M_6
20160700_P15_19	20120500_P14_2
20160700_P15_19	PKYX01
Palsa.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.54_83.78_8.12	Palsa.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.54_83.78_8.12
Palsa.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.54_83.78_8.12	Palsa.Unlabelled.R2.T1.F2.trimmomatic.megahit_bin.3_79.68_7.30
Palsa.Unlabelled.R3.T1.F2.trimmomatic.metaspades_bin.54_83.78_8.12	Palsa.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.69_71.90_7.69
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T2.F1.trimmomatic.metaspades_bin.22_94.77_0.27
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.35_91.85_0.00
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.58_91.51_0.54
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R3.T2.F1.trimmomatic.metaspades_bin.26_94.62_1.08
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T3.F2.trimmomatic.metaspades_bin.6_91.65_0.54
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T3.F2.JGI.BFC.metaspades_bin.11_92.01_0.81
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R2.T2.F2.JGI.BFC.metaspades_bin.17_98.66_2.02
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T2.F1.trimmomatic.megahit_bin.73_94.70_1.08
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T2.F2.JGI.BFC.metaspades_bin.8_95.03_0.54
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T2.F3.trimmomatic.metaspades_bin.24_89.61_0.00
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T2.F1.JGI.BFC.metaspades_bin.38_88.24_1.08
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R2.T3.F1.trimmomatic.metaspades_bin.34_85.13_0.00
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R2.T3.F2.trimmomatic.megahit_bin.8_95.50_2.19
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R2.T3.F1.trimmomatic.megahit_bin.48_86.82_1.08
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R2.T2.F2.trimmomatic.megahit_bin.28_95.82_1.90
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T3.F1.JGI.BFC.metaspades_bin.5_89.32_1.08
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.37_82.72_0.00
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.5_88.71_1.68
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T2.F3.trimmomatic.megahit_bin.22_86.77_1.25
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T2.F2.trimmomatic.megahit_bin.44_95.59_3.09
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T3.F2.trimmomatic.megahit_bin.16_91.12_3.09
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R3.T3.F1.trimmomatic.metaspades_bin.74_73.59_0.00
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	3300028740_5
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T2.F3.JGI.BFC.metaspades_bin.13_77.78_0.05
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.14_79.66_1.17
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	3300028736_5
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T3.F1.trimmomatic.metaspades_bin.42_74.31_1.72
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R3.T2.F3.trimmomatic.metaspades_bin.18_70.96_1.12
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R2.T1.F2.trimmomatic.metaspades_bin.39_73.50_0.54
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R3.T2.F3.trimmomatic.megahit_bin.3_72.49_1.66
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Labelled.R2.T3.F3.trimmomatic.megahit_bin.54_71.77_1.61
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Labelled.R2.T3.F3.JGI.BFC.metaspades_bin.59_75.59_2.36
Fen.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.37_93.26_0.00	Fen.Unlabelled.R1.T3.F1.trimmomatic.megahit_bin.22_84.34_7.01
20130700_S2D_2	20130700_S2D_2
20130700_S2D_2	20140700_S35_5
20130700_S2D_2	20120600_S3D_11
20130700_S2D_2	20130700_S2M_12
20130700_S2D_2	20150700_S13_11
20110800_S3S_12	20110800_S3S_12
20110800_S3S_12	PLFC01
20110800_S3S_12	20111000_S3S_1
20110800_S3S_12	20110800_S1S_17
20110800_S3S_12	PKZK01
20110800_S3S_12	Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.99_83.36_8.33
20110800_S3S_12	Bog.Unlabelled.R3.T3.F3.trimmomatic.megahit_bin.94_72.56_6.48
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R2.T3.F3.JGI.BFC.metaspades_bin.267_98.66_3.27
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R1.T3.F2.trimmomatic.metaspades_bin.188_98.71_3.08
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R1.T3.F3.JGI.BFC.metaspades_bin.12_98.88_3.27
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R1.T3.F3.trimmomatic.metaspades_bin.190_99.11_3.80
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R1.T3.F2.JGI.BFC.metaspades_bin.120_98.70_3.18
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R1.T3.F2.trimmomatic.megahit_bin.18_99.39_3.86
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R2.T3.F3.trimmomatic.megahit_bin.165_98.96_4.36
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Labelled.R1.T2.F3.trimmomatic.metaspades_bin.41_94.96_3.14
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R3.T2.F2.trimmomatic.metaspades_bin.29_95.00_3.12
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Labelled.R1.T2.F3.trimmomatic.megahit_bin.15_93.70_3.24
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.66_93.62_3.24
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R2.T2.F2.trimmomatic.megahit_bin.26_93.45_3.44
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R1.T2.F2.trimmomatic.megahit_bin.33_89.94_2.84
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Labelled.R1.T2.F3.JGI.BFC.metaspades_bin.1_85.42_2.75
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Labelled.R1.T3.F3.trimmomatic.metaspades_bin.8_80.52_1.19
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.125_86.46_2.92
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R2.T2.F2.JGI.BFC.metaspades_bin.37_86.92_3.12
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Labelled.R3.T2.F3.trimmomatic.metaspades_bin.117_82.97_1.62
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R1.T2.F2.JGI.BFC.metaspades_bin.8_73.02_1.19
Palsa.Unlabelled.R1.T3.F3.trimmomatic.megahit_bin.171_99.39_2.58	Palsa.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.129_72.57_2.65
PMNG01	PMNG01
PMNG01	20100900_E3D_15
PMNG01	20120600_E1D_22
PMNG01	20120600_E3D_10
PMNG01	20110800_E2M_7
PMNG01	PMKY01
PMNG01	20120600_E2D_42
PMNG01	PMYV01
PMNG01	PMIM01
20160700_E25_15	20160700_E25_15
20160700_E25_15	20150700_E14_14
20160700_E25_15	20150700_E15_15
20160700_E25_15	20160700_E24_2
20160700_E25_15	20170700_E15_2
20110800_S1M_20	20110800_S1M_20
20110800_S1M_20	20170700_S34_31
20110800_S1M_20	20110700_S2D_16
Bog.Unlabelled.R1.T1.F2.JGI.BFC.metaspades_bin.35_96.02_1.29	Bog.Unlabelled.R1.T1.F2.JGI.BFC.metaspades_bin.35_96.02_1.29
Bog.Unlabelled.R1.T1.F2.JGI.BFC.metaspades_bin.35_96.02_1.29	Bog.Unlabelled.R1.T1.F2.trimmomatic.metaspades_bin.9_86.24_2.59
Bog.Unlabelled.R1.T1.F2.JGI.BFC.metaspades_bin.35_96.02_1.29	Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.57_74.92_0.86
Bog.Unlabelled.R1.T1.F2.JGI.BFC.metaspades_bin.35_96.02_1.29	Bog.Unlabelled.R1.T1.F2.trimmomatic.megahit_bin.46_78.74_4.31
Bog.Unlabelled.R1.T1.F2.JGI.BFC.metaspades_bin.35_96.02_1.29	Bog.None.R2.T0.JGI.BFC.metaspades_bin.339_88.78_4.31
Bog.Unlabelled.R1.T1.F2.JGI.BFC.metaspades_bin.35_96.02_1.29	Bog.Unlabelled.R2.T1.F3.trimmomatic.metaspades_bin.46_79.50_2.59
Bog.Unlabelled.R1.T1.F2.JGI.BFC.metaspades_bin.35_96.02_1.29	Bog.Unlabelled.R2.T1.F3.trimmomatic.megahit_bin.72_80.88_3.45
Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.100_87.84_4.05	Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.100_87.84_4.05
Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.100_87.84_4.05	Bog.Labelled.R1.T3.F2.JGI.BFC.metaspades_bin.1_86.89_7.26
Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.100_87.84_4.05	Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.10_86.89_9.46
Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.100_87.84_4.05	Bog.None.R1.T0.trimmomatic.megahit_bin.222_75.66_6.52
Bog.Unlabelled.R2.T3.F1.JGI.BFC.metaspades_bin.100_87.84_4.05	Bog.Unlabelled.R2.T3.F2.trimmomatic.metaspades_bin.203_72.23_8.29
Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75	Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75
Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75	Bog.None.R3.T0.trimmomatic.megahit_bin.122_97.81_1.75
Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75	Bog.Unlabelled.R1.T2.F2.trimmomatic.megahit_bin.66_94.44_0.88
Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75	Bog.Unlabelled.R1.T2.F2.trimmomatic.metaspades_bin.84_92.36_1.32
Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75	Bog.None.R2.T0.JGI.BFC.metaspades_bin.155_95.86_1.75
Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75	Bog.Labelled.R1.T1.F1.JGI.BFC.metaspades_bin.187_96.98_2.63
Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75	Bog.None.R2.T0.trimmomatic.megahit_bin.111_99.90_3.51
Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75	Bog.Labelled.R2.T3.F3.trimmomatic.metaspades_bin.68_91.52_2.19
Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75	Bog.Unlabelled.R2.T2.F2.trimmomatic.metaspades_bin.167_91.47_2.37
Bog.None.R1.T0.trimmomatic.megahit_bin.369_97.17_1.75	Bog.Unlabelled.R2.T2.F1.trimmomatic.megahit_bin.3_95.39_2.74
