Desulfovibrio_vulgaris_Hildenborough_DVU0403	dsrB_reductive; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_vulgaris
UniRef90_D7QYI8	dsrB
UniRef90_D7QYJ0	dsrB
UniRef90_D8F2V2	dsrB
UniRef90_D8WRP6	dsrB
UniRef90_D8WRP9	dsrB
UniRef90_D8WRR2	dsrB
UniRef90_D8WRS3	dsrB
UniRef90_E0D1Z3	dsrB
UniRef90_E0XLI0	dsrB
UniRef90_E0XLI1	dsrB
UniRef90_E1QPH9	dsrB
UniRef90_E1QPI0	dsrB
UniRef90_E1V251	dsrB
UniRef90_E1V275	dsrB
UniRef90_E3HZD2	dsrB
UniRef90_E4Z7L7	dsrB
UniRef90_E4Z7V5	dsrB
UniRef90_E4Z807	dsrB
UniRef90_E5D450	dsrB
UniRef90_E5D466	dsrB
UniRef90_E5D467	dsrB
UniRef90_E5D468	dsrB
UniRef90_E5D469	dsrB
UniRef90_E5D471	dsrB
UniRef90_E5D473	dsrB
UniRef90_E5D474	dsrB
UniRef90_E5D475	dsrB
UniRef90_E5D476	dsrB
UniRef90_E5D477	dsrB
UniRef90_E5D478	dsrB
UniRef90_E5D480	dsrB
UniRef90_E5D482	dsrB
UniRef90_E5DG56	dsrB
UniRef90_E5DG60	dsrB
UniRef90_E5DG61	dsrB
UniRef90_E5DG63	dsrB
UniRef90_E5DG67	dsrB
UniRef90_E5DG71	dsrB
UniRef90_E5RQ49	dsrB
UniRef90_E6QSS8	dsrB
UniRef90_E6VZA6	dsrB
UniRef90_E9M4L6	dsrB
UniRef90_F0QUQ1	dsrB
UniRef90_F1CZX5	dsrB
UniRef90_F2KRS7	dsrB
UniRef90_F2NJF9	dsrB
UniRef90_F2NJG0	dsrB
UniRef90_F7NEE2	dsrB
UniRef90_F7NEE3	dsrB
UniRef90_F8AAL4	dsrB
UniRef90_F8SNT8	dsrB
UniRef90_G1V1V9	dsrB
UniRef90_G2FHM6	dsrB
UniRef90_G2FW56	dsrB
UniRef90_G2FW57	dsrB
UniRef90_G4RJT2	dsrB
UniRef90_G4RJT3	dsrB
UniRef90_G4RNF0	dsrB
UniRef90_G4RNF1	dsrB
UniRef90_G4RNF2	dsrB
UniRef90_G4RNF3	dsrB
UniRef90_G9JT88	dsrB
UniRef90_G9MA28	dsrB
UniRef90_G9MA31	dsrB
UniRef90_G9MA33	dsrB
UniRef90_G9MA34	dsrB
UniRef90_H2BNX8	dsrB
UniRef90_H2BQ51	dsrB
UniRef90_H2BQ55	dsrB
UniRef90_H2BQ59	dsrB
UniRef90_H2BQ63	dsrB
UniRef90_H2BQ75	dsrB
UniRef90_H6Q9T5	dsrB
UniRef90_H6Q9W2	dsrB
UniRef90_H6Q9W3	dsrB
UniRef90_H6Q9Y3	dsrB
UniRef90_H6Q9Y4	dsrB
UniRef90_H6Q9Z5	dsrB
UniRef90_H6U6A9	dsrB
UniRef90_H6U6B1	dsrB
UniRef90_H6U6B6	dsrB
UniRef90_H6U6B8	dsrB
UniRef90_H6U6B9	dsrB
UniRef90_H6U6C1	dsrB
UniRef90_H6U6C9	dsrB
UniRef90_H6U6E1	dsrB
UniRef90_H6U6H7	dsrB
UniRef90_H6VLA3	dsrB
UniRef90_H6VLC6	dsrB
UniRef90_H6VLC8	dsrB
UniRef90_H8YUV6	dsrB
UniRef90_H9ZXT3	dsrB
UniRef90_H9ZXT5	dsrB
UniRef90_H9ZXU1	dsrB
UniRef90_H9ZXU5	dsrB
UniRef90_H9ZXU8	dsrB
UniRef90_H9ZXV3	dsrB
UniRef90_H9ZXV5	dsrB
UniRef90_I1U7A8	dsrB
UniRef90_I1Y9A1	dsrB
UniRef90_I1Y9B1	dsrB
UniRef90_I1Y9C1	dsrB
UniRef90_I1Y9C9	dsrB
UniRef90_I1Y9D5	dsrB
UniRef90_I1Y9E9	dsrB
UniRef90_I1Z8D6	dsrB
UniRef90_I1Z8E3	dsrB
UniRef90_I4C3X5	dsrB
UniRef90_I6PGW2	dsrB
UniRef90_I6XT73	dsrB
UniRef90_J7F544	dsrB
UniRef90_J7F6W1	dsrB
UniRef90_K1XZE9	dsrB
UniRef90_K1YBN0	dsrB
UniRef90_K4P599	dsrB
UniRef90_K4P5F6	dsrB
UniRef90_K4P7K0	dsrB
UniRef90_K4P7S6	dsrB
UniRef90_K4PIF8	dsrB
UniRef90_K6FGG7	dsrB
UniRef90_K6UH91	dsrB
UniRef90_K8EIH2	dsrB
UniRef90_L0DV13	dsrB
UniRef90_L0DWL8	dsrB
UniRef90_L0R867	dsrB
UniRef90_L7RSG4	dsrB
UniRef90_L7UKC6	dsrB
UniRef90_L7UKE6	dsrB
UniRef90_L7UKF8	dsrB
UniRef90_L7UN76	dsrB
UniRef90_L7UN86	dsrB
UniRef90_L7UN90	dsrB
UniRef90_L7UNK0	dsrB
UniRef90_L7UNL3	dsrB
UniRef90_L7UPH6	dsrB
UniRef90_L7UPI4	dsrB
UniRef90_L7UPJ1	dsrB
UniRef90_L7US51	dsrB
UniRef90_L7US65	dsrB
UniRef90_L7US76	dsrB
UniRef90_L7US81	dsrB
UniRef90_M4MBU3	dsrB
UniRef90_M4MFB4	dsrB
UniRef90_M5Q0T3	dsrB
UniRef90_N0BK96	dsrB
UniRef90_N0BL33	dsrB
UniRef90_O86969	dsrB
UniRef90_O86971	dsrB
UniRef90_O86979	dsrB
UniRef90_P45575	dsrB
UniRef90_P94694	dsrB
UniRef90_Q008U1	dsrB
UniRef90_Q05JY9	dsrB
UniRef90_Q05JZ3	dsrB
UniRef90_Q05K01	dsrB
UniRef90_Q0A837	dsrB
UniRef90_Q0PIS7	dsrB
UniRef90_Q18N21	dsrB
UniRef90_Q18N23	dsrB
UniRef90_Q18N24	dsrB
UniRef90_Q18N25	dsrB
UniRef90_Q18N28	dsrB
UniRef90_Q18N38	dsrB
UniRef90_Q18N43	dsrB
UniRef90_Q18N49	dsrB
UniRef90_Q18N51	dsrB
UniRef90_Q18N53	dsrB
UniRef90_Q18N54	dsrB
UniRef90_Q18N58	dsrB
UniRef90_Q18N62	dsrB
UniRef90_Q18N67	dsrB
UniRef90_Q18N79	dsrB
UniRef90_Q18N81	dsrB
UniRef90_Q18N83	dsrB
UniRef90_Q18NA1	dsrB
UniRef90_Q18NA5	dsrB
UniRef90_Q18NB7	dsrB
UniRef90_Q18NC7	dsrB
UniRef90_Q18NC9	dsrB
UniRef90_Q18ND1	dsrB
UniRef90_Q1XE96	dsrB
UniRef90_Q1XEA4	dsrB
UniRef90_Q1XEB2	dsrB
UniRef90_Q1XEB8	dsrB
UniRef90_Q1XEC1	dsrB
UniRef90_Q1XEC7	dsrB
UniRef90_Q27RW1	dsrB
UniRef90_Q27RX1	dsrB
UniRef90_Q27RX9	dsrB
UniRef90_Q29ZB3	dsrB
UniRef90_Q29ZB4	dsrB
UniRef90_Q29ZB5	dsrB
UniRef90_Q29ZB7	dsrB
UniRef90_Q29ZB8	dsrB
UniRef90_Q29ZB9	dsrB
UniRef90_Q29ZC3	dsrB
UniRef90_Q29ZC5	dsrB
UniRef90_Q29ZC6	dsrB
UniRef90_Q29ZC9	dsrB
UniRef90_Q29ZD0	dsrB
UniRef90_Q29ZD2	dsrB
UniRef90_Q29ZD5	dsrB
UniRef90_Q29ZD6	dsrB
UniRef90_Q29ZD8	dsrB
UniRef90_Q29ZE0	dsrB
UniRef90_Q29ZE1	dsrB
UniRef90_Q29ZE3	dsrB
UniRef90_Q29ZE5	dsrB
UniRef90_Q29ZE6	dsrB
UniRef90_Q29ZE7	dsrB
UniRef90_Q29ZF1	dsrB
UniRef90_Q29ZF2	dsrB
UniRef90_Q29ZF3	dsrB
UniRef90_Q29ZG0	dsrB
UniRef90_Q29ZG1	dsrB
UniRef90_Q29ZG5	dsrB
UniRef90_Q29ZG7	dsrB
UniRef90_Q29ZG9	dsrB
UniRef90_Q29ZH0	dsrB
UniRef90_Q29ZH2	dsrB
UniRef90_Q29ZH3	dsrB
UniRef90_Q29ZH4	dsrB
UniRef90_Q29ZH5	dsrB
UniRef90_Q2F1M1	dsrB
UniRef90_Q2M447	dsrB
UniRef90_Q2M449	dsrB
UniRef90_Q2M450	dsrB
UniRef90_Q2M456	dsrB
UniRef90_Q2M457	dsrB
UniRef90_Q2M458	dsrB
UniRef90_Q2M459	dsrB
UniRef90_Q2M462	dsrB
UniRef90_Q2M469	dsrB
UniRef90_Q2M482	dsrB
UniRef90_Q2WBT8	dsrB
UniRef90_Q2WBU0	dsrB
UniRef90_Q2XU39	dsrB
UniRef90_Q2XU41	dsrB
UniRef90_Q2XU44	dsrB
UniRef90_Q2XU51	dsrB
UniRef90_Q315R8	dsrB
UniRef90_Q3A9H7	dsrB
UniRef90_Q3A9H8	dsrB
UniRef90_Q3AP71	dsrB
UniRef90_Q3IBI3	dsrB
UniRef90_Q3IBL7	dsrB
UniRef90_Q3IBR8	dsrB
UniRef90_Q3IBT1	dsrB
UniRef90_Q49GL7	dsrB
UniRef90_Q49GL8	dsrB
UniRef90_Q49GL9	dsrB
UniRef90_Q49GM3	dsrB
UniRef90_Q49GM5	dsrB
UniRef90_Q49GM9	dsrB
UniRef90_Q49GN2	dsrB
UniRef90_Q49GN3	dsrB
UniRef90_Q49GN6	dsrB
UniRef90_Q49GP1	dsrB
UniRef90_Q4F6T1	dsrB
UniRef90_Q4F6T2	dsrB
UniRef90_Q4F6T7	dsrB
UniRef90_Q4F6U5	dsrB
UniRef90_Q4F6U9	dsrB
UniRef90_Q4F6V2	dsrB
UniRef90_Q4F6V3	dsrB
UniRef90_Q4F6V5	dsrB
UniRef90_Q4F6V8	dsrB
UniRef90_Q4F6W4	dsrB
UniRef90_Q52JH9	dsrB
UniRef90_Q59110	dsrB
UniRef90_Q5BU55	dsrB
UniRef90_Q5BU57	dsrB
UniRef90_Q5BU59	dsrB
UniRef90_Q5BU63	dsrB
UniRef90_Q5BU67	dsrB
UniRef90_Q5C9J9	dsrB
UniRef90_Q5EM16	dsrB
UniRef90_Q5QCA1	dsrB
UniRef90_Q5QCB3	dsrB
UniRef90_Q5QCB7	dsrB
UniRef90_Q5QCC0	dsrB
UniRef90_Q5QCC1	dsrB
UniRef90_Q5QCC7	dsrB
UniRef90_Q5QCD5	dsrB
UniRef90_Q5QCD8	dsrB
UniRef90_Q5QCE2	dsrB
UniRef90_Q5QCE3	dsrB
UniRef90_Q5QCF0	dsrB
UniRef90_Q5XLV3	dsrB
UniRef90_Q5XLV5	dsrB
UniRef90_Q5XLV6	dsrB
UniRef90_Q5XLV7	dsrB
UniRef90_Q5ZQN8	dsrB
UniRef90_Q5ZQP0	dsrB
UniRef90_Q5ZQR2	dsrB
UniRef90_Q5ZQS0	dsrB
UniRef90_Q5ZQS6	dsrB
UniRef90_Q5ZQT2	dsrB
UniRef90_Q5ZQT8	dsrB
UniRef90_Q67BV7	dsrB
UniRef90_Q67BZ0	dsrB
UniRef90_Q67C29	dsrB
UniRef90_Q69I07	dsrB
UniRef90_Q69I19	dsrB
UniRef90_Q69I21	dsrB
UniRef90_Q69I23	dsrB
UniRef90_Q69I36	dsrB
UniRef90_Q69I37	dsrB
UniRef90_Q69I38	dsrB
UniRef90_Q69I45	dsrB
UniRef90_Q6AQ46	dsrB
UniRef90_Q6PNG9	dsrB
UniRef90_Q6PNH0	dsrB
UniRef90_Q6PNH3	dsrB
UniRef90_Q6PNH5	dsrB
UniRef90_Q6V1X9	dsrB
UniRef90_Q6V1Y1	dsrB
UniRef90_Q6V201	dsrB
UniRef90_Q6V205	dsrB
UniRef90_Q6V231	dsrB
UniRef90_Q6VU55	dsrB
UniRef90_Q6WWC1	dsrB
UniRef90_Q75SP5	dsrB
UniRef90_Q75VD9	dsrB
UniRef90_Q75VF1	dsrB
UniRef90_Q75VF7	dsrB
UniRef90_Q75VF9	dsrB
UniRef90_Q75VH8	dsrB
UniRef90_Q75VI6	dsrB
UniRef90_Q75VJ6	dsrB
UniRef90_Q766V4	dsrB
UniRef90_Q766V6	dsrB
UniRef90_Q766V7	dsrB
UniRef90_Q83XY2	dsrB
UniRef90_Q83XZ4	dsrB
UniRef90_Q83Y31	dsrB
UniRef90_Q841U9	dsrB
UniRef90_Q841V0	dsrB
UniRef90_Q847W9	dsrB
UniRef90_Q847X2	dsrB
UniRef90_Q847X3	dsrB
UniRef90_Q847X4	dsrB
UniRef90_Q847X8	dsrB
UniRef90_Q847X9	dsrB
UniRef90_Q847Y0	dsrB
UniRef90_Q8GLZ5	dsrB
UniRef90_Q8K5E9	dsrB
UniRef90_Q8KE39	dsrB
UniRef90_Q8KQ68	dsrB
UniRef90_Q8KQ70	dsrB
UniRef90_Q8KSU6	dsrB
UniRef90_Q8L1Q7	dsrB
UniRef90_Q8L1R2	dsrB
UniRef90_Q8L1R6	dsrB
UniRef90_Q8L1S8	dsrB
UniRef90_Q8RIS4	dsrB
UniRef90_Q8RMI9	dsrB
UniRef90_Q8RQU2	dsrB
UniRef90_Q8VRP3	dsrB
UniRef90_Q8VRP7	dsrB
UniRef90_Q8VRQ1	dsrB
UniRef90_Q8VRQ5	dsrB
UniRef90_Q8VRR7	dsrB
UniRef90_Q8VRS9	dsrB
UniRef90_Q8VUH8	dsrB
UniRef90_Q8ZUV0	dsrB
UniRef90_Q8ZUV1	dsrB
UniRef90_Q8ZUW7	dsrB
UniRef90_Q8ZUW8	dsrB
UniRef90_Q93EU0	dsrB
UniRef90_Q93EU8	dsrB
UniRef90_Q93EV6	dsrB
UniRef90_Q93EW2	dsrB
UniRef90_Q93EW4	dsrB
UniRef90_Q93GC7	dsrB
UniRef90_Q93GD3	dsrB
UniRef90_Q93GD5	dsrB
UniRef90_Q93GD7	dsrB
UniRef90_Q93GE1	dsrB
UniRef90_Q93GE4	dsrB
UniRef90_Q93KH2	dsrB
UniRef90_Q93KH7	dsrB
UniRef90_Q93KJ2	dsrB
UniRef90_Q93KJ5	dsrB
UniRef90_Q93KJ6	dsrB
UniRef90_Q93KJ7	dsrB
UniRef90_Q93KM3	dsrB
UniRef90_Q93NT8	dsrB
UniRef90_Q93NU0	dsrB
UniRef90_Q93NU8	dsrB
UniRef90_Q93NV2	dsrB
UniRef90_Q93NV4	dsrB
UniRef90_Q93NW0	dsrB
UniRef90_Q93TS7	dsrB
UniRef90_Q93UR4	dsrB
UniRef90_Q93US0	dsrB
UniRef90_Q9ACL2	dsrB
UniRef90_Q9AF51	dsrB
UniRef90_Q9ALC0	dsrB
UniRef90_Q9ALC1	dsrB
UniRef90_Q9ALC6	dsrB
UniRef90_Q9ALD8	dsrB
UniRef90_Q9ALD9	dsrB
UniRef90_Q9ALH4	dsrB
UniRef90_Q9ALH6	dsrB
UniRef90_R4KL11	dsrB
UniRef90_S0BED1	dsrB
UniRef90_S0BEI7	dsrB
UniRef90_S0G5M9	dsrB
UniRef90_S6BKH1	dsrB
UniRef90_S7TL94	dsrB
UniRef90_S7V9M2	dsrB
UniRef90_T0Z0T5	dsrB
UniRef90_T1CCZ2	dsrB
UniRef90_T2G8V8	dsrB
UniRef90_U6C311	dsrB
UniRef90_U6C322	dsrB
UniRef90_U6C368	dsrB
UniRef90_U6C3S1	dsrB
UniRef90_U6C5K4	dsrB
UniRef90_U6C622	dsrB
UniRef90_U6C644	dsrB
UniRef90_UPI0001E1247B	dsrB
UniRef90_UPI0002DB7C44	dsrB
UniRef90_UPI000364738B	dsrB
UniRef90_UPI0003FBD3D7	dsrB
UniRef90_UPI0003FC51B9	dsrB
UniRef90_UPI0004064D42	dsrB
UniRef90_UPI00040BF53F	dsrB
UniRef90_UPI000410DA6C	dsrB
UniRef90_UPI00041CD55A	dsrB
UniRef90_UPI00046E5EA1	dsrB
UniRef90_UPI000485C1B6	dsrB
UniRef90_UPI0004A6D7CA	dsrB
UniRef90_UPI00056F7E3D	dsrB
UniRef90_UPI00058D1939	dsrB
UniRef90_UPI00068C2075	dsrB
UniRef90_UPI000849FF85	dsrB
UniRef90_UPI00085382F4	dsrB
UniRef90_UPI00097D3C60	dsrB
UniRef90_UPI000A0472D5	dsrB
UniRef90_UPI000A06D2AC	dsrB
UniRef90_UPI000A19E1F4	dsrB
UniRef90_UPI000AAD30D2	dsrB
UniRef90_UPI000B30E30F	dsrB
UniRef90_UPI000B7D384D	dsrB
UniRef90_UPI000B7F963E	dsrB
UniRef90_UPI000F840539	dsrB
UniRef90_UPI00102C1330	dsrB
UniRef90_UPI00102C68AE	dsrB
UniRef90_UPI00102D157D	dsrB
UniRef90_UPI0010F5D295	dsrB
UniRef90_UPI0011187F9D	dsrB
UniRef90_UPI001118AB21	dsrB
UniRef90_UPI00137A4779	dsrB
UniRef90_UPI0013CFB63E	dsrB
UniRef90_UPI0013CFD27A	dsrB
UniRef90_UPI0013D8DC50	dsrB
UniRef90_UPI0013EA9EEA	dsrB
UniRef90_UPI0013EC7F68	dsrB
UniRef90_UPI00192E5919	dsrB
UniRef90_UPI0019625F61	dsrB
UniRef90_UPI001965272F	dsrB
UniRef90_UPI001966AC8F	dsrB
UniRef90_UPI001A8E3AB5	dsrB
UniRef90_UPI001A8F1687	dsrB
UniRef90_UPI001C22D2E3	dsrB
UniRef90_W0FB10	dsrB
UniRef90_W0FB20	dsrB
UniRef90_W0FB36	dsrB
UniRef90_W0FB46	dsrB
UniRef90_W0FB47	dsrB
UniRef90_W0FB52	dsrB
UniRef90_W0FB55	dsrB
UniRef90_W0FB60	dsrB
UniRef90_W0FB76	dsrB
UniRef90_W0FB85	dsrB
UniRef90_W0FB93	dsrB
UniRef90_W0FBB2	dsrB
UniRef90_W0FBB6	dsrB
UniRef90_W0FEH7	dsrB
UniRef90_W0FEJ5	dsrB
UniRef90_W0FEL8	dsrB
UniRef90_W0FEM3	dsrB
UniRef90_W0FEQ0	dsrB
UniRef90_W0FFC3	dsrB
UniRef90_W0FFD5	dsrB
UniRef90_W0FFF1	dsrB
UniRef90_W0FFP1	dsrB
UniRef90_W0FFP5	dsrB
UniRef90_W0FFQ0	dsrB
UniRef90_W0FFQ8	dsrB
UniRef90_W0FFX2	dsrB
UniRef90_W0NJC7	dsrB
UniRef90_W0SE78	dsrB
UniRef90_W5XLJ5	dsrB
UniRef90_W5XLM5	dsrB
UniRef90_W6KAS1	dsrB
UniRef90_W7X4E5	dsrB
UniRef90_W8FL17	dsrB
UniRef90_W8FL41	dsrB
UniRef90_W8FL60	dsrB
UniRef90_W8FL67	dsrB
UniRef90_W8FL75	dsrB
UniRef90_W8FL90	dsrB
UniRef90_W8FLA1	dsrB
UniRef90_W8FLQ1	dsrB
UniRef90_W8FLS0	dsrB
UniRef90_W8FLT5	dsrB
UniRef90_W8FLU8	dsrB
UniRef90_W8FLW3	dsrB
UniRef90_W8FLZ8	dsrB
UniRef90_W8FQ28	dsrB
UniRef90_W8FQ48	dsrB
UniRef90_W8FQ96	dsrB
UniRef90_W8FQA5	dsrB
UniRef90_W8FQC0	dsrB
UniRef90_W8FQD5	dsrB
UniRef90_W8FQD9	dsrB
UniRef90_W8FQF0	dsrB
UniRef90_W8FTI6	dsrB
UniRef90_W8FTL7	dsrB
UniRef90_W8FTM2	dsrB
UniRef90_W8FTM6	dsrB
UniRef90_W8FTM8	dsrB
UniRef90_W8FTN3	dsrB
UniRef90_W8FTP5	dsrB
UniRef90_W8FTQ0	dsrB
UniRef90_W8FTQ3	dsrB
UniRef90_W8FTQ9	dsrB
UniRef90_W8FTS5	dsrB
UniRef90_W8FTT3	dsrB
UniRef90_W8FTV7	dsrB
UniRef90_W8FTX3	dsrB
UniRef90_W8FWY7	dsrB
UniRef90_W8FX28	dsrB
UniRef90_W8FX51	dsrB
UniRef90_W8FX76	dsrB
UniRef90_W8FX89	dsrB
UniRef90_W8P3V2	dsrB
UniRef90_W8P498	dsrB
UniRef90_W8XAC6	dsrB
UniRef90_X0W5C9	dsrB
UniRef90_X1E0D6	dsrB
20100900_E1D_10_c_000000000203_9	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003162255
20110600_S3M_2_c_000000005176_2	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Fen-178;s__
20110700_S2D_14_c_000000000194_12	emerge;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__;s__
20110700_S3M_12_c_000000000027_10	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__TOLSYN;s__
20110800_E2D_22_c_000000006638_33	emerge;d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__Fen-181;s__Fen-181 sp003170135
20110800_E2D_9_c_000000006142_18	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__
20110800_S3D_19_c_000000004319_26	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003139095
20111000_P3M_27_c_000000010139_16	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__2-12-FULL-64-23;s__
20120500_P17_6_c_000000000976_5	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__2-12-FULL-64-23;s__
20120500_P19_8_c_000000001544_30	emerge;d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645
20120500_P26_1_c_000000000758_50	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003132325
20120600_E1D_18_c_000000005061_34	emerge;d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1118;s__Fen-1118 sp003159055
20120600_E1D_34_c_000000007185_11	emerge;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Rhodoblastus;s__
20120600_E2D_12_c_000000002831_34	emerge;d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__FEN-299;s__FEN-299 sp003157675
20120600_E2D_49_c_000000001241_7	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fen-999;s__Fen-999 sp003158255
20120600_E3D_37_c_000000000011_35	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fen-999;s__Fen-999 sp003157035
20120600_S3M_3_c_000000001739_27	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003162935
20120700_E3M_1_c_000000000461_1	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__
20120700_E3M_1_c_000000000553_1	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__
20120700_E3M_1_c_000000000616_2	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__
20120700_P3D_102_c_000000058360_3	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Fen-178;s__Fen-178 sp003170915
20120700_P3D_131_c_000000020010_25	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Palsa-1005;g__PALSA-1005;s__PALSA-1005 sp003153335
20120700_P3D_139_c_000000083625_22	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__Rhizobacter sp003152055
20120700_P3D_19_c_000000088913_15	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__PALSA-1004;s__PALSA-1004 sp003153455
20120700_P3D_64_c_000000080916_49	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Gallionella;s__Gallionella sp003153155
20120700_P3D_65_c_000000039829_2	emerge;d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__PALSA-1316;s__PALSA-1316 sp003153275
20120700_P3D_73_c_000000081354_20	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__PALSA-349;s__PALSA-349 sp003152325
20120700_P3D_91_c_000000068519_30	emerge;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__PALSA-1440;s__
20120700_S1D_29_c_000000006085_11	emerge;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Palsa-1400;g__;s__
20120700_S1D_31_c_000000062853_37	emerge;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Rhodoblastus;s__
20120700_S1D_41_c_000000003843_5	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__TOLSYN;s__
20120700_S1D_61_c_000000055142_7	emerge;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__PALSA-1440;s__
20120700_S1D_63_c_000000029687_37	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__TOLSYN;s__
20120700_S1D_85_c_000000073934_9	emerge;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__UBA11358;s__
20120700_S1D_97_c_000000096968_8	emerge;d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__SbD1;s__SbD1 sp003165235
20120700_S1X_15_c_000000001917_23	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Fen-178;s__
20120800_E1X_14_c_000000001349_1	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Sideroxydans;s__
20120800_E3S_10_c_000000002152_10	emerge;d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__FEN-299;s__
20120800_E3S_6_c_000000003793_3	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Fen-178;s__Fen-178 sp003142355
20130700_C1X_10_c_000000003070_163	emerge;d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__Fen-1301;s__
20130700_C2M_9_c_000000002631_9	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Fen-178;s__
20130700_E2Y_17_c_000000001948_1	emerge;d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA2185;g__Fen-1135;s__Fen-1135 sp003142635
