Desulfovibrio_vulgaris_Hildenborough_DVU0402	dsrA_reductive; d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__Desulfovibrio_vulgaris
UniRef90_C4P8A7	dsrA
UniRef90_C4P8A9	dsrA
UniRef90_C4P8B5	dsrA
UniRef90_C4P8B7	dsrA
UniRef90_C4P8B9	dsrA
UniRef90_C4P8C1	dsrA
UniRef90_C4P8C3	dsrA
UniRef90_C4P8C5	dsrA
UniRef90_C4P8D1	dsrA
UniRef90_C4P8D6	dsrA
UniRef90_C4P8D8	dsrA
UniRef90_C4P8E4	dsrA
UniRef90_C4P8E6	dsrA
UniRef90_C4P8F0	dsrA
UniRef90_C4P8F7	dsrA
UniRef90_C4P8G2	dsrA
UniRef90_C4PGH9	dsrA
UniRef90_C4PGI1	dsrA
UniRef90_C4PGI3	dsrA
UniRef90_C4PGI5	dsrA
UniRef90_C4PGJ3	dsrA
UniRef90_C4PGJ7	dsrA
UniRef90_C4PGJ9	dsrA
UniRef90_C4PGK3	dsrA
UniRef90_C5E7G9	dsrA
UniRef90_C6BZ29	dsrA
UniRef90_C6H166	dsrA
UniRef90_C7LUX2	dsrA
UniRef90_C8KI92	dsrA
UniRef90_C8W1Y8	dsrA
UniRef90_C8WZS1	dsrA
UniRef90_D0QAU6	dsrA
UniRef90_D1KEA2	dsrA
UniRef90_D2DHP4	dsrA
UniRef90_D2RFY6	dsrA
UniRef90_D3JUG4	dsrA
UniRef90_D3JUG8	dsrA
UniRef90_D3K3J8	dsrA
UniRef90_D5GRX0	dsrA
UniRef90_D6SSJ8	dsrA
UniRef90_D8F2V3	dsrA
UniRef90_D8WRN7	dsrA
UniRef90_D8WRN8	dsrA
UniRef90_D8WRP5	dsrA
UniRef90_D8WRP6	dsrA
UniRef90_D8WRP7	dsrA
UniRef90_D8WRP8	dsrA
UniRef90_D8WRP9	dsrA
UniRef90_D8WRQ0	dsrA
UniRef90_D8WRQ5	dsrA
UniRef90_D8WRQ6	dsrA
UniRef90_D8WRQ8	dsrA
UniRef90_D8WRR2	dsrA
UniRef90_D8WRR5	dsrA
UniRef90_D8WRS0	dsrA
UniRef90_D8WRS3	dsrA
UniRef90_D8WRS7	dsrA
UniRef90_D8WRS9	dsrA
UniRef90_E0D1Z2	dsrA
UniRef90_E0D1Z4	dsrA
UniRef90_E0XLI0	dsrA
UniRef90_E1QFJ4	dsrA
UniRef90_E1QPH9	dsrA
UniRef90_E1V210	dsrA
UniRef90_E1V268	dsrA
UniRef90_E1V288	dsrA
UniRef90_E1V2F8	dsrA
UniRef90_E1V2H2	dsrA
UniRef90_E3HZD3	dsrA
UniRef90_E4Z7T6	dsrA
UniRef90_E5D450	dsrA
UniRef90_E5D455	dsrA
UniRef90_E5D466	dsrA
UniRef90_E5D468	dsrA
UniRef90_E5D470	dsrA
UniRef90_E5D474	dsrA
UniRef90_E5D477	dsrA
UniRef90_E5D482	dsrA
UniRef90_E5RQ49	dsrA
UniRef90_E5RQ50	dsrA
UniRef90_E5RQ52	dsrA
UniRef90_E6QSS7	dsrA
UniRef90_E7DB51	dsrA
UniRef90_E7DB52	dsrA
UniRef90_E9NLL5	dsrA
UniRef90_F0QUQ1	dsrA
UniRef90_F1CZX0	dsrA
UniRef90_F2KRS8	dsrA
UniRef90_F2NJG0	dsrA
UniRef90_F2YSP3	dsrA
UniRef90_F6B661	dsrA
UniRef90_F6DQV7	dsrA
UniRef90_F7NEE2	dsrA
UniRef90_F8SNT8	dsrA
UniRef90_G0YGH8	dsrA
UniRef90_G0YGI0	dsrA
UniRef90_G1V1V8	dsrA
UniRef90_G2DAV7	dsrA
UniRef90_G2FW57	dsrA
UniRef90_G2H7S1	dsrA
UniRef90_G4RJT3	dsrA
UniRef90_G4RNF1	dsrA
UniRef90_G4RNF2	dsrA
UniRef90_G8GE57	dsrA
UniRef90_G9M9Z4	dsrA
UniRef90_G9MA28	dsrA
UniRef90_G9MA31	dsrA
UniRef90_G9MA33	dsrA
UniRef90_G9MA34	dsrA
UniRef90_H2B315	dsrA
UniRef90_H2B3C3	dsrA
UniRef90_H2B3C5	dsrA
UniRef90_H2BNX7	dsrA
UniRef90_H2BQ50	dsrA
UniRef90_H2BQ51	dsrA
UniRef90_H2BQ54	dsrA
UniRef90_H2BQ55	dsrA
UniRef90_H2BQ57	dsrA
UniRef90_H2BQ59	dsrA
UniRef90_H2BQ62	dsrA
UniRef90_H2BQ63	dsrA
UniRef90_H2BQ64	dsrA
UniRef90_H2BQ66	dsrA
UniRef90_H2BQ72	dsrA
UniRef90_H2BQ73	dsrA
UniRef90_H2BQ75	dsrA
UniRef90_H2BQ76	dsrA
UniRef90_H2BQ77	dsrA
UniRef90_H2BQ79	dsrA
UniRef90_H2BQ81	dsrA
UniRef90_H2BQ83	dsrA
UniRef90_H5WQR1	dsrA
UniRef90_H6Q9T5	dsrA
UniRef90_H6Q9W2	dsrA
UniRef90_H6Q9Y4	dsrA
UniRef90_H6Q9Z5	dsrA
UniRef90_H6U6A8	dsrA
UniRef90_H6U6B0	dsrA
UniRef90_H6U6B4	dsrA
UniRef90_H6U6B6	dsrA
UniRef90_H6U6B8	dsrA
UniRef90_H6U6C0	dsrA
UniRef90_H6U6C4	dsrA
UniRef90_H6U6D0	dsrA
UniRef90_H6U6D6	dsrA
UniRef90_H6U6E0	dsrA
UniRef90_H6U6I3	dsrA
UniRef90_H6U6I5	dsrA
UniRef90_H6UZS8	dsrA
UniRef90_H6UZT3	dsrA
UniRef90_H6UZU7	dsrA
UniRef90_H6UZW4	dsrA
UniRef90_H6UZW9	dsrA
UniRef90_H6UZX3	dsrA
UniRef90_H8YUT9	dsrA
UniRef90_H8YUU1	dsrA
UniRef90_H8YUV1	dsrA
UniRef90_H8YUW5	dsrA
UniRef90_H8YUW7	dsrA
UniRef90_H8YUX5	dsrA
UniRef90_H9ZXT2	dsrA
UniRef90_H9ZXU4	dsrA
UniRef90_H9ZXU8	dsrA
UniRef90_H9ZXV0	dsrA
UniRef90_H9ZXV4	dsrA
UniRef90_H9ZXV8	dsrA
UniRef90_I1WDY7	dsrA
UniRef90_I1Y998	dsrA
UniRef90_I1Y9A0	dsrA
UniRef90_I1Y9B0	dsrA
UniRef90_I1Y9D4	dsrA
UniRef90_I1Y9E2	dsrA
UniRef90_I1Y9F4	dsrA
UniRef90_I2FJU4	dsrA
UniRef90_I2FK88	dsrA
UniRef90_I3Y6I5	dsrA
UniRef90_I4C3X6	dsrA
UniRef90_I6PSJ3	dsrA
UniRef90_I6VGJ3	dsrA
UniRef90_I6VGV9	dsrA
UniRef90_I6VRY0	dsrA
UniRef90_I6WA50	dsrA
UniRef90_I6WAK4	dsrA
UniRef90_I6XP13	dsrA
UniRef90_I7G1L1	dsrA
UniRef90_I7IIS8	dsrA
UniRef90_I7JWS2	dsrA
UniRef90_K0ND70	dsrA
UniRef90_K1Z4D9	dsrA
UniRef90_K1ZDI2	dsrA
UniRef90_K4NWD8	dsrA
UniRef90_K4NWJ4	dsrA
UniRef90_K4P7M9	dsrA
UniRef90_K4P7N3	dsrA
UniRef90_K8DZJ1	dsrA
UniRef90_L0DWL8	dsrA
UniRef90_L0F545	dsrA
UniRef90_L0GAF6	dsrA
UniRef90_L0GD83	dsrA
UniRef90_L0R6S6	dsrA
UniRef90_L7RTW5	dsrA
UniRef90_L7UKC6	dsrA
UniRef90_L7UKE3	dsrA
UniRef90_L7UKE6	dsrA
UniRef90_L7UKF8	dsrA
UniRef90_L7UN76	dsrA
UniRef90_L7UN80	dsrA
UniRef90_L7UN86	dsrA
UniRef90_L7UN90	dsrA
UniRef90_L7UNJ7	dsrA
UniRef90_L7UNK0	dsrA
UniRef90_L7UNL3	dsrA
UniRef90_L7UNL8	dsrA
UniRef90_L7UNM2	dsrA
UniRef90_L7UNN0	dsrA
UniRef90_L7UPG8	dsrA
UniRef90_L7UPH6	dsrA
UniRef90_L7UPH7	dsrA
UniRef90_L7UPI4	dsrA
UniRef90_L7UPJ1	dsrA
UniRef90_L7US51	dsrA
UniRef90_L7US61	dsrA
UniRef90_L7US65	dsrA
UniRef90_L7US68	dsrA
UniRef90_L7US76	dsrA
UniRef90_L7US81	dsrA
UniRef90_M1WMP4	dsrA
UniRef90_M5PPN5	dsrA
UniRef90_N0BK96	dsrA
UniRef90_O33966	dsrA
UniRef90_O33998	dsrA
UniRef90_P45574	dsrA
UniRef90_P94693	dsrA
UniRef90_Q008T0	dsrA
UniRef90_Q008T6	dsrA
UniRef90_Q008U1	dsrA
UniRef90_Q05JZ4	dsrA
UniRef90_Q05JZ6	dsrA
UniRef90_Q05K00	dsrA
UniRef90_Q05K02	dsrA
UniRef90_Q0A838	dsrA
UniRef90_Q0PQL1	dsrA
UniRef90_Q0PQL2	dsrA
UniRef90_Q15BJ6	dsrA
UniRef90_Q15BK3	dsrA
UniRef90_Q15BK5	dsrA
UniRef90_Q15BL4	dsrA
UniRef90_Q15BM1	dsrA
UniRef90_Q15BN9	dsrA
UniRef90_Q15BP5	dsrA
UniRef90_Q18KX7	dsrA
UniRef90_Q18N16	dsrA
UniRef90_Q18N24	dsrA
UniRef90_Q18N28	dsrA
UniRef90_Q18N38	dsrA
UniRef90_Q18N44	dsrA
UniRef90_Q18N46	dsrA
UniRef90_Q18N48	dsrA
UniRef90_Q18N50	dsrA
UniRef90_Q18N54	dsrA
UniRef90_Q18N58	dsrA
UniRef90_Q18N62	dsrA
UniRef90_Q18N72	dsrA
UniRef90_Q18N74	dsrA
UniRef90_Q18N80	dsrA
UniRef90_Q18N82	dsrA
UniRef90_Q18N88	dsrA
UniRef90_Q18N90	dsrA
UniRef90_Q18NA6	dsrA
UniRef90_Q18NB8	dsrA
UniRef90_Q18NC6	dsrA
UniRef90_Q18NC8	dsrA
UniRef90_Q18ND0	dsrA
UniRef90_Q18ND2	dsrA
UniRef90_Q1KNE0	dsrA
UniRef90_Q1XE85	dsrA
UniRef90_Q1XE87	dsrA
UniRef90_Q1XE89	dsrA
UniRef90_Q1XE92	dsrA
UniRef90_Q1XE93	dsrA
UniRef90_Q1XE96	dsrA
UniRef90_Q1XEA2	dsrA
UniRef90_Q1XEA4	dsrA
UniRef90_Q1XEA6	dsrA
UniRef90_Q1XEA7	dsrA
UniRef90_Q1XEB2	dsrA
UniRef90_Q1XEB3	dsrA
UniRef90_Q1XEB5	dsrA
UniRef90_Q1XEB6	dsrA
UniRef90_Q1XEB7	dsrA
UniRef90_Q1XEB8	dsrA
UniRef90_Q1XEC0	dsrA
UniRef90_Q1XEC1	dsrA
UniRef90_Q1XEC2	dsrA
UniRef90_Q1XEC5	dsrA
UniRef90_Q1XEC6	dsrA
UniRef90_Q1XEC7	dsrA
UniRef90_Q1XEC8	dsrA
UniRef90_Q1XEC9	dsrA
UniRef90_Q1XED0	dsrA
UniRef90_Q1XED2	dsrA
UniRef90_Q1XED6	dsrA
UniRef90_Q1XED7	dsrA
UniRef90_Q1XEE2	dsrA
UniRef90_Q27RT4	dsrA
UniRef90_Q27RV0	dsrA
UniRef90_Q27RW0	dsrA
UniRef90_Q27RX2	dsrA
UniRef90_Q27RX4	dsrA
UniRef90_Q2F1L7	dsrA
UniRef90_Q2F1M1	dsrA
UniRef90_Q2M449	dsrA
UniRef90_Q2M451	dsrA
UniRef90_Q2M455	dsrA
UniRef90_Q2M456	dsrA
UniRef90_Q2M459	dsrA
UniRef90_Q2M463	dsrA
UniRef90_Q2M466	dsrA
UniRef90_Q2M468	dsrA
UniRef90_Q2M476	dsrA
UniRef90_Q2M483	dsrA
UniRef90_Q2WBT7	dsrA
UniRef90_Q2WBT8	dsrA
UniRef90_Q2WBU0	dsrA
UniRef90_Q315R9	dsrA
UniRef90_Q3A9H7	dsrA
UniRef90_Q3AP71	dsrA
UniRef90_Q3IBI2	dsrA
UniRef90_Q3IBL8	dsrA
UniRef90_Q3IBR8	dsrA
UniRef90_Q3SJ48	dsrA
UniRef90_Q3SJA5	dsrA
UniRef90_Q49GL8	dsrA
UniRef90_Q49GM2	dsrA
UniRef90_Q49GM8	dsrA
UniRef90_Q49GN1	dsrA
UniRef90_Q49GN5	dsrA
UniRef90_Q49GP2	dsrA
UniRef90_Q4F6T0	dsrA
UniRef90_Q4F6T2	dsrA
UniRef90_Q4F6T4	dsrA
UniRef90_Q4F6T6	dsrA
UniRef90_Q4F6T8	dsrA
UniRef90_Q4F6V0	dsrA
UniRef90_Q4F6V2	dsrA
UniRef90_Q4F6V4	dsrA
UniRef90_Q4F6V8	dsrA
UniRef90_Q4F6W0	dsrA
UniRef90_Q4F6W4	dsrA
UniRef90_Q4JN28	dsrA
UniRef90_Q52JI0	dsrA
UniRef90_Q52JI2	dsrA
UniRef90_Q58I76	dsrA
UniRef90_Q59109	dsrA
UniRef90_Q5BU56	dsrA
UniRef90_Q5BU58	dsrA
UniRef90_Q5BU60	dsrA
UniRef90_Q5BU66	dsrA
UniRef90_Q5C9K0	dsrA
UniRef90_Q5EM17	dsrA
UniRef90_Q5QCB1	dsrA
UniRef90_Q5QCB4	dsrA
UniRef90_Q5QCB7	dsrA
UniRef90_Q5QCC1	dsrA
UniRef90_Q5QCD1	dsrA
UniRef90_Q5QCE3	dsrA
UniRef90_Q5XLV6	dsrA
UniRef90_Q5ZQN9	dsrA
UniRef90_Q5ZQR3	dsrA
UniRef90_Q5ZQS1	dsrA
UniRef90_Q5ZQT1	dsrA
UniRef90_Q67BU0	dsrA
UniRef90_Q67BU2	dsrA
UniRef90_Q67BV7	dsrA
UniRef90_Q67BW0	dsrA
UniRef90_Q67BX6	dsrA
UniRef90_Q67BZ0	dsrA
UniRef90_Q67C29	dsrA
UniRef90_Q67C30	dsrA
UniRef90_Q69I08	dsrA
UniRef90_Q69I10	dsrA
UniRef90_Q69I18	dsrA
UniRef90_Q69I20	dsrA
UniRef90_Q69I22	dsrA
UniRef90_Q69I26	dsrA
UniRef90_Q69I28	dsrA
UniRef90_Q69I32	dsrA
UniRef90_Q69I36	dsrA
UniRef90_Q69I38	dsrA
UniRef90_Q6AQ47	dsrA
UniRef90_Q6PNG9	dsrA
UniRef90_Q6PNH0	dsrA
UniRef90_Q6PNH3	dsrA
UniRef90_Q6PNH4	dsrA
UniRef90_Q6PNH5	dsrA
UniRef90_Q6PNJ4	dsrA
UniRef90_Q6RCS6	dsrA
UniRef90_Q6V207	dsrA
UniRef90_Q6V211	dsrA
UniRef90_Q6V212	dsrA
UniRef90_Q6V214	dsrA
UniRef90_Q6V217	dsrA
UniRef90_Q6V219	dsrA
UniRef90_Q6V221	dsrA
UniRef90_Q6V225	dsrA
UniRef90_Q6V231	dsrA
UniRef90_Q6V234	dsrA
UniRef90_Q6V235	dsrA
UniRef90_Q6V237	dsrA
UniRef90_Q6VU51	dsrA
UniRef90_Q6VU52	dsrA
UniRef90_Q6VU56	dsrA
UniRef90_Q6WWG0	dsrA
UniRef90_Q75VG2	dsrA
UniRef90_Q75VG4	dsrA
UniRef90_Q75VH0	dsrA
UniRef90_Q75VH5	dsrA
UniRef90_Q75VH9	dsrA
UniRef90_Q75VI7	dsrA
UniRef90_Q75VJ1	dsrA
UniRef90_Q766V7	dsrA
UniRef90_Q7X500	dsrA
UniRef90_Q83XY8	dsrA
UniRef90_Q83ZD9	dsrA
UniRef90_Q83ZE0	dsrA
UniRef90_Q841I7	dsrA
UniRef90_Q8K5E9	dsrA
UniRef90_Q8KQ69	dsrA
UniRef90_Q8L1Q7	dsrA
UniRef90_Q8L1R0	dsrA
UniRef90_Q8L1R2	dsrA
UniRef90_Q8L1R6	dsrA
UniRef90_Q8L1R8	dsrA
UniRef90_Q8L1S6	dsrA
UniRef90_Q8L1S8	dsrA
UniRef90_Q8RQQ4	dsrA
UniRef90_Q8RQQ6	dsrA
UniRef90_Q8RQT4	dsrA
UniRef90_Q8RQU2	dsrA
UniRef90_Q8VRP6	dsrA
UniRef90_Q8VRQ6	dsrA
UniRef90_Q8VRR2	dsrA
UniRef90_Q8ZUV1	dsrA
UniRef90_Q8ZUW7	dsrA
UniRef90_Q93EW1	dsrA
UniRef90_Q93EW5	dsrA
UniRef90_Q93GD0	dsrA
UniRef90_Q93GD4	dsrA
UniRef90_Q93GE0	dsrA
UniRef90_Q93GE2	dsrA
UniRef90_Q93GE4	dsrA
UniRef90_Q93KK2	dsrA
UniRef90_Q93KL7	dsrA
UniRef90_Q93KM3	dsrA
UniRef90_Q93KP0	dsrA
UniRef90_Q93KP1	dsrA
UniRef90_Q93QV2	dsrA
UniRef90_Q93TR3	dsrA
UniRef90_Q93TR7	dsrA
UniRef90_Q93TR8	dsrA
UniRef90_Q93TR9	dsrA
UniRef90_Q93UR5	dsrA
UniRef90_Q93US1	dsrA
UniRef90_Q9ACL3	dsrA
UniRef90_Q9AEG6	dsrA
UniRef90_Q9ALC0	dsrA
UniRef90_Q9ALC1	dsrA
UniRef90_Q9ALC6	dsrA
UniRef90_Q9ALD8	dsrA
UniRef90_Q9ALD9	dsrA
UniRef90_Q9ALH4	dsrA
UniRef90_Q9ALH6	dsrA
UniRef90_Q9K2F8	dsrA
UniRef90_Q9K2G6	dsrA
UniRef90_Q9L3B7	dsrA
UniRef90_R4KMH8	dsrA
UniRef90_S6ADJ6	dsrA
UniRef90_S6BZN5	dsrA
UniRef90_S7TLS8	dsrA
UniRef90_U6C2X9	dsrA
UniRef90_U6C307	dsrA
UniRef90_U6C355	dsrA
UniRef90_U6C363	dsrA
UniRef90_U6C371	dsrA
UniRef90_U6C389	dsrA
UniRef90_U6C398	dsrA
UniRef90_U6C3P5	dsrA
UniRef90_U6C3R0	dsrA
UniRef90_U6C5K8	dsrA
UniRef90_U6C617	dsrA
UniRef90_U6C634	dsrA
UniRef90_U6C644	dsrA
UniRef90_U6C649	dsrA
UniRef90_UPI0002DB7C44	dsrA
UniRef90_UPI00035D3C43	dsrA
UniRef90_UPI000367AF7E	dsrA
UniRef90_UPI0003FA91BD	dsrA
UniRef90_UPI00040C25D2	dsrA
UniRef90_UPI00041D5719	dsrA
UniRef90_UPI0004244506	dsrA
UniRef90_UPI000488AEE3	dsrA
UniRef90_UPI00048E0ACF	dsrA
UniRef90_UPI00049162C1	dsrA
UniRef90_UPI0004A7480C	dsrA
UniRef90_UPI00056F7E3D	dsrA
UniRef90_UPI00056FE59D	dsrA
UniRef90_UPI00058C887A	dsrA
UniRef90_UPI000685D499	dsrA
UniRef90_UPI00085382F4	dsrA
UniRef90_UPI00097DB4F0	dsrA
UniRef90_UPI000A0472D5	dsrA
UniRef90_UPI000AFF2592	dsrA
UniRef90_UPI000B7F963E	dsrA
UniRef90_UPI000E65EA8A	dsrA
UniRef90_UPI000F81CFD5	dsrA
UniRef90_UPI00102C89B3	dsrA
UniRef90_UPI00102D157D	dsrA
UniRef90_UPI0011187F9D	dsrA
UniRef90_UPI00137ABE7C	dsrA
UniRef90_UPI00137B0664	dsrA
UniRef90_UPI0013D8DC50	dsrA
UniRef90_UPI0013E9C494	dsrA
UniRef90_UPI0013EA9EEA	dsrA
UniRef90_UPI0018DBAB98	dsrA
UniRef90_UPI001907A77C	dsrA
UniRef90_UPI001A8F1687	dsrA
UniRef90_UPI001A9B7D87	dsrA
UniRef90_UPI001B394311	dsrA
UniRef90_UPI001C224C1D	dsrA
UniRef90_V4L2I2	dsrA
UniRef90_W0FB10	dsrA
UniRef90_W0FB20	dsrA
UniRef90_W0FB26	dsrA
UniRef90_W0FB36	dsrA
UniRef90_W0FB46	dsrA
UniRef90_W0FB52	dsrA
UniRef90_W0FB55	dsrA
UniRef90_W0FB60	dsrA
UniRef90_W0FB64	dsrA
UniRef90_W0FB70	dsrA
UniRef90_W0FB82	dsrA
UniRef90_W0FBA0	dsrA
UniRef90_W0FBB6	dsrA
UniRef90_W0FBC4	dsrA
UniRef90_W0FEJ2	dsrA
UniRef90_W0FEL8	dsrA
UniRef90_W0FFH5	dsrA
UniRef90_W0FFP5	dsrA
UniRef90_W0FFU2	dsrA
UniRef90_W0FFX2	dsrA
UniRef90_W0SHF1	dsrA
UniRef90_W1I854	dsrA
UniRef90_W1IBI4	dsrA
UniRef90_W5XUC1	dsrA
UniRef90_W6KK51	dsrA
UniRef90_W7WR47	dsrA
UniRef90_W8FL18	dsrA
UniRef90_W8FL64	dsrA
UniRef90_W8FL71	dsrA
UniRef90_W8FL85	dsrA
UniRef90_W8FLV8	dsrA
UniRef90_W8FLW6	dsrA
UniRef90_W8FLY0	dsrA
UniRef90_W8FLZ5	dsrA
UniRef90_W8FQ48	dsrA
UniRef90_W8FQ67	dsrA
UniRef90_W8FQ76	dsrA
UniRef90_W8FQ84	dsrA
UniRef90_W8FQ92	dsrA
UniRef90_W8FQA1	dsrA
UniRef90_W8FQB6	dsrA
UniRef90_W8FQD5	dsrA
UniRef90_W8FTM2	dsrA
UniRef90_W8FTM8	dsrA
UniRef90_W8FTP5	dsrA
UniRef90_W8FTQ3	dsrA
UniRef90_W8FTR3	dsrA
UniRef90_W8FTT6	dsrA
UniRef90_W8FTU1	dsrA
UniRef90_W8FTW3	dsrA
UniRef90_W8FWX2	dsrA
UniRef90_W8FX19	dsrA
UniRef90_W8FX28	dsrA
UniRef90_W8FX38	dsrA
UniRef90_W8FX56	dsrA
UniRef90_W8FX76	dsrA
UniRef90_W8FX98	dsrA
UniRef90_W8FXC6	dsrA
UniRef90_W8P3V2	dsrA
UniRef90_W8P498	dsrA
UniRef90_W8XE29	dsrA
UniRef90_W8XVR9	dsrA
UniRef90_X0VD61	dsrA
UniRef90_X1E0D6	dsrA
20100900_E1D_10_c_000000000203_10	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003162255
20110600_S3M_2_c_000000005176_1	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Fen-178;s__
20110700_S2D_14_c_000000000194_13	emerge;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__;s__
20110700_S3M_12_c_000000000027_9	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__TOLSYN;s__
20110800_E2D_22_c_000000006638_32	emerge;d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__Fen-181;s__Fen-181 sp003170135
20110800_E2D_9_c_000000006142_19	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Solibacter;s__
20110800_S3D_19_c_000000004319_25	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003139095
20111000_P3M_27_c_000000010139_17	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__2-12-FULL-64-23;s__
20120500_P17_6_c_000000000976_4	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__2-12-FULL-64-23;s__
20120500_P19_8_c_000000001544_29	emerge;d__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__RBG-13-68-16;s__RBG-13-68-16 sp003133645
20120500_P26_1_c_000000000758_49	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003132325
20120600_E1D_18_c_000000005061_35	emerge;d__Bacteria;p__Myxococcota;c__Polyangia;o__Palsa-1104;f__Fen-1088;g__Fen-1118;s__Fen-1118 sp003159055
20120600_E1D_34_c_000000007185_10	emerge;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Rhodoblastus;s__
20120600_E2D_12_c_000000002831_33	emerge;d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__Fen-181;g__FEN-299;s__FEN-299 sp003157675
20120600_E2D_49_c_000000001311_2	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fen-999;s__Fen-999 sp003158255
20120600_E3D_37_c_000000000011_34	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Fen-999;s__Fen-999 sp003157035
20120600_S3M_3_c_000000001739_28	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__Bog-209;s__Bog-209 sp003162935
20120700_E3M_1_c_000000000461_2	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__
20120700_E3M_1_c_000000000616_1	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__
20120700_P3D_102_c_000000058360_4	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Fen-178;s__Fen-178 sp003170915
20120700_P3D_131_c_000000020010_24	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Palsa-1005;g__PALSA-1005;s__PALSA-1005 sp003153335
20120700_P3D_139_c_000000083625_23	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhizobacter;s__Rhizobacter sp003152055
20120700_P3D_19_c_000000088913_16	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-41;g__PALSA-1004;s__PALSA-1004 sp003153455
20120700_P3D_64_c_000000080916_50	emerge;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__Gallionella;s__Gallionella sp003153155
20120700_P3D_65_c_000000039829_3	emerge;d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA6898;g__PALSA-1316;s__PALSA-1316 sp003153275
20120700_P3D_73_c_000000081354_21	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__PALSA-349;s__PALSA-349 sp003152325
20120700_P3D_91_c_000000068519_31	emerge;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__PALSA-1440;s__
20120700_S1D_29_c_000000006085_12	emerge;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Palsa-1400;g__;s__
20120700_S1D_31_c_000000062853_38	emerge;d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Rhodoblastus;s__
20120700_S1D_33_c_000000093092_9	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__BOG-234;s__
20120700_S1D_41_c_000000003843_4	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__TOLSYN;s__
20120700_S1D_61_c_000000055142_8	emerge;d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__PALSA-1440;s__
20120700_S1D_63_c_000000029687_36	emerge;d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae;g__TOLSYN;s__
